西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前344,344,周顯王二十五年（西元前三四四年）,32,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、吳、衛、宋、鄭、中山、蔡、代,蘇秦、張儀、商鞅、秦孝公、秦惠王、齊威王、魏惠王,伐、攻、圍、卒、立、變法、稱王、滅、取、拔、盟、聘、會、遷、殺、奔,秦孝公十八年，魏惠王二十六年，韓昭侯十九年，趙肅侯六年，齊威王十三年，楚宣王二十六年，燕文公十八年。 [周顯王]二十五年秦會諸侯于周。（《周本紀》，《六國表》作“諸侯會”） [秦孝公]二十年(當作十八年)秦使公子少官率師會諸侯逢澤，朝天子。（《秦本紀》） 秦孝公二十年(當作十八年)會諸侯于澤，朝天子。(《六國表·集解》引徐廣曰：“《紀年》作逢澤”) 徐廣《史記音義》雲：秦孝公會諸侯于逢澤陂。陂，《汲郡墓竹書紀年》作逢澤。（《水經·渠水注》） 案：《永樂大典》本，朱謀垾校本《水經注》如此，戴震校本改作“徐廣《史記音義》曰：秦使公子少官率師會諸侯逢澤，《汲郡墓竹書紀年》作秦孝公會諸侯于逢澤”。並於“《史記音義》曰”下注雲：“近刻訛作秦孝公會諸侯于逢澤陂陂”，又於“《汲郡墓竹書紀年》作”下注雲：“案近刻脫秦孝公會諸侯于七字。”戴震校本據《秦本紀》與今本《竹書紀年》妄改《水經注》，殊不可信。 魏伐邯鄲，因退為逢澤之遇，乘夏車，稱夏王，朝為天子（“為”通“於”），天下皆從。齊太公聞之（“齊太公”當作“陳侯”），舉兵伐魏，壤地兩分，國家大危，梁王身抱質執璧，請為陳侯臣，天下乃釋梁。（《秦策四》第十……
前343,343,周顯王二十六年（西元前三四三年）,37,秦、齊、楚、燕、韓、趙、魏、周、越、吳、衛、宋、鄭、中山、代,秦孝公、齊威王、齊宣王、魏惠王,伐、攻、圍、救、卒、立、稱王、滅、會、殺、奔,秦孝公十九年，魏惠王二十七年，韓昭侯二十年，趙肅侯七年，齊威王十四年，楚宣王二十七年，燕文公十九年。 [趙肅侯]七年公子刻攻魏首垣。（《趙世家》） [魏惠王]二十八年(當作二十七年)中山君相魏。(《魏世家》，《六國表》系於次年) 案：《周季編略》雲：“按魏滅中山守之，封其後以數邑，服于魏。至安王末年與趙戰，則中山必漸強矣。至是為魏相，如靖郭君相齊之例，其國必強矣，然猶臣于魏也。”其說非是。《史記·索隱》雲：“按魏文侯滅中山，其弟守之，後尋複國，至是始令相魏。”據《說苑·秦使》篇，魏文侯滅中山，使太子擊守之，三年後，文侯乃封少子摯於中山，而複太子擊。擊即魏武侯。蒙文通《周秦少數民族研究》卷五“中山稱王與趙滅中山”條，謂“此魏之宗親自有中山君，故入為相。斯時中山桓公已複國，而魏之中山君摯，遂還相魏”。 又案：摯為魏惠王之叔父，未必此時尚健在，即使健在，必已高齡，未必能出任相職。此時之中山君當為摯之子，其名失傳。 秦孝公十九年城武城。從東方牡丘來歸。天子致伯。（《六國表》） [秦孝公]十九年天子致伯。（《秦本紀》，《周本紀》亦雲是年“周致伯于秦孝公”。《田世家》系“周致伯于秦孝公”於次年） ……
前341,341,周顯王二十八年（西元前三四一年）,15,秦、齊、楚、燕、韓、趙、魏、晉、吳、衛、宋,秦孝公、齊威王、齊宣王、魏惠王,伐、攻、圍、救、卒、取、會、殺,秦孝公二十一年，魏惠王二十九年，韓昭侯二十二年，趙肅侯九年，齊威王十六年，楚宣王二十九年，燕文公二十一年。 [魏惠王]三十年(當作二十九年)太子果與齊人戰，敗于馬陵，齊虜魏太子申，殺將軍龐涓，軍遂大破。（《魏世家》，《六國表》亦作“齊虜我太子申，殺將軍龐涓”） [齊宣王]二年(當作齊威王十六年)齊因起兵，使田忌、田嬰將，孫子為師，救韓、趙以擊魏，大敗之馬陵，殺其將龐涓，虜魏太子申。（《田世家》） [秦孝公]二十一年，齊敗魏馬陵。（《秦本紀》） [齊]宣王二年（當作齊威王十六年）田忌與孫臏、田嬰俱伐魏，敗之馬陵，虜魏太子申而殺魏將龐涓。（《孟嘗君列傳》） [秦孝公二十一年]齊敗魏兵于馬陵，虜其太子申，殺將軍龐涓。（《商君列傳》） 齊、魏戰于馬陵，齊大勝魏，殺太子申，覆十萬之軍。（《魏策二》第十一章） 田忌為齊將，系梁太子申，禽龐涓。（《齊策一》第九章） [梁惠成王]二十九年五月齊田盼伐我東鄙。九月秦衛鞅伐我西鄙，十月邯鄲伐我北鄙。王攻衛鞅，我師敗績。（《魏世家·索隱》引《紀年》，《商君列傳·索隱》引《紀年》亦雲：“魏惠王二十九年秦衛鞅伐梁西鄙。”） 梁惠成王二十九年齊田肸及宋人伐東鄙，圍……
前340,340,周顯王二十九年（西元前三四0年）,66,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、鄭、蔡、代,商鞅、秦孝公、秦惠王、齊威王、齊宣王、齊湣王、魏惠王,伐、攻、圍、救、卒、立、變法、合縱、滅、取、盟、會、遷、殺、奔,秦孝公二十二年，魏惠王三十年，韓昭侯二十三年，趙肅侯十年，齊威王十七年，楚宣王三十年，燕文公二十二年。 齊宣王三年(當作齊威王十七年)與趙會博望，伐魏。(《田世家·集解》徐廣引《六國表》，今本《六國表》脫“博望”二字) [魏惠王]三十一年(當作三十年)秦、趙、齊共伐我。秦將商君，詐我將軍公子卬而襲奪其軍，破之。……以公子赫為太子。(《魏世家》，《六國表》“公子赫為太子”系于次年，《趙世家》雲：“[肅侯]十一年秦孝公使商君伐魏，虜其將公子卬，趙伐魏。”亦誤後一年) 案：秦、趙、齊共伐魏，《紀年》在上年，而《史記》在此年，殆此事始于上年而終於此年乎？ 公孫鞅之于秦，非父兄也，非有故也，以能用也。欲堙之責，非攻無以，於是為秦將而攻魏。魏使公子卬將而當之。公孫鞅之居魏也，固善公子卬，使人謂公子卬曰：“凡所為遊而欲貴者，以公子之故也。今秦令鞅將，魏令公子當之，豈且忍相與戰哉？公子言之公子之主，鞅亦請言之主而皆罷軍。”於是，將歸矣，使人謂公子曰：“歸未有時相見，願與公子坐而相去別也。”公子曰：“諾。”魏吏爭之曰：“不可。”公子不聽，遂相與坐。公孫鞅因伏卒與車騎，以取公子卬。（《呂氏春秋·無義》） ……
前337,337,周顯王三十二年（西元前三三七年）,14,秦、齊、楚、燕、韓、趙、魏、周、宋、代,張儀、秦惠王、齊威王、魏惠王,伐、卒、立、稱王、滅、殺,秦惠文王元年，魏惠王三十三年，韓昭侯二十六年，趙肅侯十 三年，齊威王二十年，楚威王三年，燕文公二十五年。 秦惠文王元年楚、韓、趙、蜀來朝。（《秦本紀》，《六國表》作“楚、韓、趙、蜀人來”）周顯王之世，蜀王有褒漢之地，因獵穀中，與秦惠王遇。惠王以金一笥遺蜀王，蜀王報珍玩之物，物化為土，惠王怒。群臣賀曰：“天承我矣，王將得蜀土地。”惠王喜，乃作石牛五頭，朝瀉金其後，曰：“牛便金。”有養卒百人。蜀人悅之，使使請石牛，惠王許之，乃遣五丁迎石牛。既不便金，怒遣還之，乃嘲秦人曰：“東方牧犢兒。”秦人笑之曰：“吾雖牧犢，當得蜀也。”（《華陽國志》卷三《蜀志》） 案：《太平御覽》三十七、又四百七十八、又八百十一、又八百七十二，又八百八十八引《蜀王本紀》雲：秦王以金一笥遺蜀王，蜀王以禮物答，而盡化為土，秦王怒。群臣拜賀曰：“土者地也，秦當得蜀矣。”此即《華陽國志》所本。《水經·沔水注》引來敏《本蜀論》雲：“秦惠王欲伐蜀而不知道，作五石牛，以金置尾下，言能屎金。蜀王負力，令五丁引之成道。秦使張儀、司馬錯尋路滅蜀，因曰石牛道。” 周顯王二十二年（當作三十二年）蜀侯使朝秦，秦惠王數以美女進，蜀王感之，故朝焉。……
前335,335,周顯王三十四年（西元前三三五年）,26,秦、齊、楚、燕、韓、趙、魏、周、魯、衛、宋、鄭、代,秦惠王、齊威王、齊宣王、魏惠王,攻、卒、立、合縱、取、拔、盟、會、殺,秦惠文王三年，魏惠王三十五年，韓昭侯二十八年，趙肅侯十五年，齊威王二十二年，楚威王五年，燕文公二十七年。秦惠文王三年，拔韓宜陽。（《六國表》，《韓世家》韓昭侯二十四年（當作二十七年）“秦來拔我宜陽”） [秦惠文王三年]義渠敗秦師於洛。（《後漢書·西羌傳》） 案：《西羌傳》雲：“義渠敗秦師於洛，後四年義渠國亂，秦惠王使庶長操將兵定之。”按《六國表》，操定義渠在惠王七年，由此上推四年，當為惠王三年。 [趙肅侯]十五年起壽陵。（《趙世家》） 邯鄲以壽陵困于萬民而衛取繭氏。（《呂氏春秋·首時》） 案：呂祖謙《大事記·解題》雲：“壽陵之名見於書傳者，蓋自此始。”《呂氏春秋·首時》篇雲：“齊以東帝困于天下而魯取徐州，邯鄲以壽陵困于萬民而衛取繭氏，以魯、衛之細而皆得志於大國，遇其時也。”高誘注：“壽陵，魏邑，趙兼有之，萬民不附，是以衛人取其繭氏之邑也。”范耕研《呂氏春秋補注》雲：“壽陵未詳何地，或說趙肅侯十五年曾起壽陵，是壽陵乃陵寢之名，疑趙以起陵寢擾民，故民不附也。”當以後說為是。趙肅侯起壽陵，勞民傷財，因而萬民不附，受困于萬民，衛乘此時機攻取趙之繭氏之邑。 惠子，惠施，宋人也，仕魏，為惠王相。（……
前334,334,周顯王三十五年（西元前三三四年）,40,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、吳、衛、宋、鄭、代,張儀、商鞅、秦孝公、秦惠王、秦昭王、齊威王、齊宣王、齊湣王、趙武靈王、魏惠王,伐、攻、圍、救、卒、立、即位、連橫、稱王、取、拔、盟、會、殺,秦惠文王四年，魏惠王后元元年，韓昭侯二十九年，趙肅侯十六年，齊威王二十三年，楚威王六年，燕文公二十八年。 [齊]宣王九年(當作齊威王二十三年)田嬰相齊，齊宣王(當作“齊威王”)與魏襄王(當作魏惠王)會徐州相王也。(《孟嘗君列傳》) [秦惠文王]四年天子致文、武胙。齊、魏相王。（《秦本紀·索隱》：“齊威王、魏惠王。”） [齊宣王]九年(當作齊威王二十三年)與魏襄王(當作魏惠王)會徐州，諸侯相王也。（《田世家》，《六國表》作“與魏會徐州，諸侯相王”） [魏]襄王元年(當作魏惠王后元元年)與諸侯會徐州，相王也。（《魏世家》，《六國表》作“與諸侯會徐州以相王”） 齊因起兵擊魏，大破之馬陵，魏破韓弱，韓、魏之君因田嬰北面而朝田侯。（《齊策一》第七章，《田齊世家》作“其後三晉之王，皆因田嬰朝齊王於博望，盟而去”） 齊太公(當作齊威公)聞之，舉兵伐魏，壤地兩分，國家大危。梁王身抱質執璧，請為陳侯臣，天下乃釋梁。(《秦策四》第十一章) 齊人伐魏，殺其太子，覆其十萬之軍，魏王大恐，跣行按兵于國，而東次於齊，然後天下乃舍之。（《齊策五》第一章）梁君伐楚勝齊，制趙、韓之兵，驅十二諸侯以朝天子于孟津，後子死，……
前333,333,周顯王三十六年（西元前三三三年）,25,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、鄭、中山、代,蘇秦、張儀、句踐、秦惠王、齊威王、齊宣王、趙武靈王、魏惠王、楚懷王,伐、攻、圍、救、卒、立、滅、取、會、殺、奔,秦惠文王五年，魏惠王后元二年，韓昭侯三十年，趙肅侯十七年，齊威王二十四年，楚威王七年，燕文公二十九年。 楚威王七年圍齊於徐州。（《六國表》，《田世家》作齊宣王十年“楚圍我徐州”，《六國表》同） [齊宣王十年](當作齊威王二十四年)楚伐敗齊師於徐州，而使人逐田嬰。田嬰使張醜說楚威王，威王乃止。(《孟嘗君列傳》) 楚威王戰勝於徐州，欲逐嬰子于齊，嬰子恐。張醜謂楚王曰：“王戰勝於徐州也，盼子不用也。盼子有功于國，百姓為之用。嬰子不善而用申紂（《楚世家》作“申紀”），申紂者，大臣與（姚注：“一本作弗與”，鮑本作“弗與”，《楚世家》作“不附”，作“與”為是。於鬯注雲：“明是大臣所與，弟不得民心”）。百姓弗為用，故王勝之也。今嬰子逐，盼子必用，複整其士卒以與王遇（《楚世家》“整”作“搏”），必不便於王也。”楚王因弗逐。（《齊策一》第一章，《楚世家》大體相同） [楚威王]七年齊孟嘗君父田嬰欺楚，楚威王伐齊，敗之於徐州，而令齊必逐田嬰，田嬰恐，張醜偽謂楚王曰：……(《楚世家》，此句以下，與上引《齊策一》第一章，大體相同)齊太公聞之(“齊太公”當從下文作“陳侯”，即齊威王)，舉兵伐魏，壤地兩分，國家大危……
前332,332,周顯王三十七年（西元前三三二年）,8,秦、齊、楚、燕、韓、趙、魏、晉、周,秦惠王、齊威王、齊宣王、魏惠王,伐、攻、圍、徙都、遷,秦惠文王六年，魏惠王后元三年，韓宣惠王元年，趙肅侯十八年，齊威王二十五年，楚威王八年，燕易王元年。 [秦惠文君]六年魏納陰晉，陰晉更名甯秦。（《秦本紀》） 秦惠文王六年魏以陰晉為和，命曰甯秦。（《六國表》） 案：《漢書·地理志》雲：“華陰縣，故陰晉，秦惠王五年更名甯秦，高祖八年更名華陰。”《水經·渭水注》同。《元和郡縣圖志》雲：“華陰縣本魏之陰晉邑，秦惠文王時，魏人犀首納之于秦，秦改曰甯秦。”此說有誤。上年陰晉人犀首為秦大良造，敗魏于雕陰，魏因犀首為陰晉人，納陰晉于秦為和。 [齊宣王]十一年(當作齊威王二十五年)與魏伐趙，趙決河水灌齊、魏，兵罷。（《田世家》，《六國表》作“與魏伐趙”） 魏襄王三年（當作魏惠王后元三年）伐趙。（《六國表》） [趙肅侯]十八年齊魏伐我，我決河水灌之，兵去。（《趙世家》，《六國表》作“齊、魏伐我，我決河水浸之”） 案：薛瓚注《漢書·地理志》于河南中牟下引《汲郡古文》曰：“齊師伐趙東鄙，圍中牟。”見於《水經·渠水注》、《趙世家·集解》及《左傳》定公九年《正義》所引。洪頤煊《校正竹書紀年》定在周顯王三十一年。陳逢衡《竹書紀年集證》謂“大約在顯王末年”。雷學淇《考……
前331,331,周顯王三十八年（西元前三三一年）,5,秦、齊、楚、燕、韓、趙、魏,蘇秦、秦惠王、齊威王、魏惠王,攻、取、會,秦惠文王七年，魏惠王后元四年，韓宣惠王二年，趙肅侯十九年，齊威王二十六年，楚威王九年，燕易王二年。 秦惠文王七年義渠內亂，庶長操將兵定之。（《六國表》） 義渠國亂，秦惠王遣庶長操將兵定之，義渠遂臣于秦。（《後漢書·西羌傳》） [秦惠文君]七年公子卬與魏戰，虜其將龍賈，斬首八萬。（《秦本紀》，“公子卬”當作“公孫衍”）[秦]惠王使犀首攻魏，禽將龍賈，取魏之雕陰，且欲東兵。（《蘇秦列傳》） 案：《秦本紀》“公子卬”，《史記會注考證》以為“當公孫衍之論”，甚是。是役犀首即公孫衍為主將，延續至下年，詳下年案語。
前330,330,周顯王三十九年（西元前三三〇年）,12,秦、齊、楚、燕、韓、趙、魏、晉、周、衛、鄭、代,蘇秦、秦孝公、秦惠王、齊威王、魏惠王,伐、攻、圍、取、殺,秦惠文王八年，魏惠王后元五年，韓宣惠王三年，趙肅侯二十年，齊威王二十七年，楚威王十年，燕易王三年。 樗裡子者，名疾，秦惠王之弟也，與惠王異母。母，韓女也。樗裡子滑稽多智，秦人號曰智囊。秦惠王八年，爵樗裡子右更，使將而伐曲沃，盡出其人，取其城，地入秦。（《樗裡子列傳》） [秦惠文君]八年，魏納河西地。（《秦本紀》，《六國表》作“魏入少梁河西地于秦”。） [魏襄王]五年（當作魏惠王后元五年）秦敗我龍賈軍四萬五千于雕陰，圍焦、曲沃。予秦河西地。（《魏世家》，《六國表》作“與秦河西、少梁，秦圍我焦、曲沃”） 案：龍賈為魏西邊防秦之主將。《紀年》謂梁惠王十二年龍賈率師築長城於西邊，十五年龍賈又築陽池以備秦，是年秦分南北兩路向魏進攻，南路以樗裡疾為主將，出函谷關進圍曲沃與焦，焦在今河南三門峽市西，曲沃在焦之西南。北路以公孫衍為主將，大舉進攻魏上郡之雕陰，在今陝西甘泉南。結果焦與曲沃為秦所攻取，魏之主將龍賈在雕陰大敗，《秦本紀》謂“虜其將龍賈，斬首八萬”。《蘇秦列傳》謂：“犀首攻魏，禽將龍賈，取魏之雕陰。”《魏世家》亦謂“秦敗我龍賈軍四萬五千于雕陰”。此一戰役，龍賈所統率之魏西邊防秦之主力軍覆沒，龍……
前329,329,周顯王四十年（西元前三二九年）,26,秦、齊、楚、燕、韓、趙、魏、晉、周、越、吳、宋、鄭、蔡,蘇秦、張儀、白起、范雎、秦惠王、齊威王、齊湣王、魏惠王,伐、攻、圍、救、卒、立、取、會、賂、奔,秦惠文王九年，魏惠王后元六年，韓宣惠王四年，趙肅侯二十一年，齊威王二十八年，楚威王十一年，燕易王四年。 [秦惠文王]九年，渡河，取汾陰、皮氏。與魏王會應。圍焦，降之。（《秦本紀》，《六國表》同） [魏襄王]六年(當作魏惠王后元六年)與秦會應。秦取我汾陰、皮氏、焦。魏伐楚，敗之陘山。(《魏世家》，《六國表》作“與秦會應。秦取汾陰、皮氏”) 案：《秦本紀》謂是年“圍焦，降之”。《六國表》同。《魏世家》謂上年秦圍焦，是年秦取焦。黃式三《周季編略》據此雲：“魏獻焦于秦，焦不服，秦圍焦而降之。”不合《史記》原意。梁玉繩《史記志疑》雲：“秦兼降曲沃，故後三年歸魏焦、曲沃。”據《樗裡子列傳》，曲沃乃秦所攻克，“盡出其人，取其城”，非圍而降之。 [楚威王]十一年威王卒，子懷王熊槐立。魏聞楚喪，伐楚，取我陘山。（《楚世家》，《六國表》作“魏敗我陘山”。） 楚魏戰於陘山，魏許秦以上洛，以絕秦于楚。魏戰勝，楚敗于南陽，秦責賂于魏，魏不與。管淺謂秦王曰（“管”原作“營”，姚注“營或作管”)：“王何不謂楚王曰：魏許寡人以地，今戰勝，魏王倍寡人也。王何不與寡人遇？魏畏秦、楚之合，必與秦地矣。是魏勝楚而亡地于秦也；……
前328,328,周顯王四十一年（西元前三二八年）,16,秦、齊、楚、燕、韓、趙、魏、周、越、中山、代,蘇秦、張儀、秦惠王、齊威王、趙武靈王、魏惠王、楚懷王,攻、圍、救、滅、取、殺、奔,秦惠文王十年，魏惠王后元七年，韓宣惠王五年，趙肅侯二十二年，齊威王二十九年，楚懷王元年，燕易王五年。 [秦惠文王]十年張儀相秦。魏納上郡十五縣。（《秦本紀》，《楚世家》作懷王元年“張儀始相秦惠王”，《趙世家》作肅侯二十二年“張儀相秦”。《韓世家》作宣惠王五年“張儀相秦”，年代皆相同） 秦惠文王十年張儀相。公子桑圍蒲陽，降之。魏納上郡。（《六國表》） 案：《商周金文錄遺》第五八四號著錄相邦義戈銘文：“十三年相邦義之造，咸陽工師田、工大人耆，工頹。”十三年當為秦惠文王十三年，義即張儀。可知十年張儀為相，官名為相邦。《戰國縱橫家書》第二十三章蘇秦謂陳軫，述及“魏王謂韓儷、張義”，張儀亦作張義，可知“儀”亦可作“義”。 [魏襄王]七年（當作魏惠王后元七年）魏盡入上郡于秦。秦降我蒲陽。（《魏世家》，《六國表》作“入上郡于秦”） 秦惠王十年，使公子華與張儀圍蒲陽，降之。儀因言秦複與魏，而使公子繇質于魏。儀因說魏王曰：“秦王之遇魏甚厚，魏不可以無禮。”魏因入上郡少梁，謝秦惠王。惠王乃以張儀為相，更名少梁曰夏陽。（《張儀列傳》） 案：公子華，《六國表》作公子桑，《張儀列傳》與《集解》引徐廣曰“一作革”……
前327,327,周顯王四十二年（西元前三二七年）,5,秦、齊、楚、燕、韓、趙、魏,張儀、秦惠王、齊威王、魏惠王、楚懷王,伐、攻、立、連橫、稱王、取、拔、會,秦惠文王十一年，魏惠王后元八年，韓宣惠王六年，趙肅侯二十三年，齊威王三十年，楚懷王二年，燕易王六年。 [秦惠文王]十一年，縣義渠。歸魏焦、曲沃。義渠君為臣，更名少梁曰夏陽。（《秦本紀》，《六國表》作“義渠君為臣，歸魏焦、曲沃”） [魏襄王]八年（當作魏惠王后元八年）秦歸我焦、曲沃。（《魏世家》，《六國表》同） 案：梁玉繩《史記志疑》雲：“前二年攻取汾陰、皮氏、焦、曲沃四邑。今歸魏焦、曲沃，是秦只取汾陰、皮氏兩縣也。但此紀昭王十七年書秦以垣易蒲阪皮氏，《年表》、《魏世家》、《樗裡子甘茂列傳》並言昭王初年秦攻皮氏，未拔去……余疑秦歸焦、曲沃之時，並皮氏亦歸之。”其說是也。《資治通鑒》胡注雲：“既取而複歸之，秦之于魏，若玩弄嬰兒于掌股之上耳。”蓋張儀“欲以秦、韓與魏之勢伐齊、荊”之連橫策略，達到對外兼併之目的，又欲於下年召開秦惠稱王並與韓、魏相王之會，以此拉攏魏、韓之君。 又案：殿本《史記考證》引杭世駿雲：“此時義渠不得為縣。《犀首列傳》雲：義渠起兵襲秦，大敗秦李伯之下。若義渠已為縣，秦必更置令長，何至十年之後反為所敗。”顧頡剛《秦與西戎》駁之雲：“此說殊非。義渠國土廣大，惠文初年稍蠶食，立……
前326,326,周顯王四十三年（西元前三二六年）,7,秦、齊、楚、燕、韓、趙、魏、鄭,子貢、齊威王、趙武靈王、魏惠王、楚懷王,圍、卒、立、取、會,秦惠文王十二年，魏惠王后元九年，韓宣惠王七年，趙肅侯二十四年，齊威王三十一年，楚懷王三年，燕易王七年。 秦惠文王十二年，初臘，會龍門。（《六國表》，《秦本紀》作“初臘”） 案：《禮記·月令》孟冬“臘先祖五祀，勞農以休息”。《禮記·郊特牲》謂蠟祭“祭百種，以報嗇也”。“息田夫也”。臘祭乃酬謝有關收穫之神，具有慶祝豐收與慰勞農民之意義，是日舉行酒會，男女齊集，展開娛樂活動。《禮記·雜記下》記子貢觀蠟，“一國之人皆若狂”。是年秦于龍門初次舉行臘祭而集會，蓋有其特別用意。因秦新從魏取得河西與上郡，欲以此與黃河上游之居民聯歡，包括原來遊牧于黃河上游之戎、狄部族在內。此後六年（秦惠文王更元五年）“王北遊戎地至河上”，即秦與河上戎族相處友好之結果。 [趙肅侯]二十四年肅侯卒。秦、楚、燕、齊、魏出銳師各萬人來會葬。子武靈王立。（《趙世家》） 趙武靈王名雍。（《趙世家·索隱》） [鄭]威侯七年與邯鄲圍襄陵。（《韓世家·索隱》引《紀年》） 案：紀年鄭威侯即韓宣惠王，說已見前。
前325,325,周顯王四十四年（西元前三二五年）,26,秦、齊、楚、燕、韓、趙、魏、晉、周、宋、鄭、代,蘇秦、張儀、秦惠王、齊威王、齊宣王、趙武靈王、魏惠王、楚懷王,伐、圍、卒、立、連橫、稱王、取、會,秦惠文王十三年，魏惠王后元十年，韓宣惠王八年，趙武靈王元年，齊威王三十二年，楚懷王四年，燕易王八年。 秦惠文王十三年四月戊午，君為王。（《六國表》） [秦]惠王十三年與韓、魏、趙並稱王。（《周本紀·正義》引《秦本紀》，“趙”字當為衍文） [秦惠文王]十三年四月戊午，秦君為王，魏、韓亦為王。（《秦本紀》，原誤作“魏君為王，韓亦為王”，據《周本紀·正義》引《秦本紀》及《六國表》改正） 案：是年四月乙卯朔，戊午為初四。 [張]儀相秦四歲，立惠王為王。（《張儀列傳》） [楚懷王]四年秦惠王初稱王。（《楚世家》，《田世家》亦謂齊宣王八年“秦惠王稱王”） [周顯王]四十四年，秦惠王稱王。其後諸侯皆為王。（《周本紀》） 案《周本紀》雲：“[顯王]四十四年秦惠王稱王”，梁玉繩《史記志疑》雲：“《楚世家》懷王四年、《田完世家》宣王十八年附書之，《張儀列傳》亦雲：“儀相秦四歲立惠王為王。”與此《紀》于顯王四十四年政合。乃秦惠十三年也。秦惠在位二十七年，改十四年為元年，豈非以稱王之故歟？”又《秦本紀》雲：“秦惠文君十三年四月戊午魏君為王。”梁氏又論之曰：“魏惠稱王在惠文四年，此《紀》已書之，而是年《紀》與《……
前324,324,周顯王四十五年（西元前三二四年）,11,秦、齊、楚、燕、韓、趙、魏、周、中山,張儀、齊威王、齊宣王、趙武靈王、魏惠王、楚懷王,伐、圍、立、取、盟、會,秦惠文王更元元年，魏惠王后元十一年，韓宣惠王九年，趙武靈王二年，齊威王三十三年，楚懷王五年，燕易王九年 [秦惠文王]十四年更為元年。（《秦本紀》） 秦惠文王初更元年相張儀將兵取陝。（《六國表》） [秦惠文王]十三年……使張儀伐取陝，出其人與魏。（《秦本紀》） [張]儀相秦四歲，立惠王為王。居一歲，為秦將，取陝。築上郡塞。（《張儀列傳》） 案：陝在今河南三門峽市西，為函谷關外之重要城邑。秦惠公十年（西元前三九〇年）秦曾在陝設縣，但不久陝為魏所有。秦孝西元年(西元前三六一年)曾出兵東圍陝城。上年秦雖將焦與曲沃歸還魏國，此年張儀又為秦將取陝(《秦本紀》記在上年)。是時秦已佔有河西、上郡，並在河東佔有汾陰、皮氏等邑，更在河南佔有陝，從此黃河天險全為秦所掌握，對東方六國壓力甚大。 《紀年》當惠王之後元十一年，彼文作平阿。（《孟嘗君列傳·索隱》） 案：《孟嘗君列傳》雲：“宣王七年（當作齊威王二十一年）……（田）嬰與韓昭侯、魏惠王會齊宣王（當作齊威王）東阿南，盟而去。”《索隱》雲：“《紀年》當惠王之後元十一年，彼文作平阿。”雷學淇《竹書紀年義證》以《紀年》為是，以為《史記》誤移於前。此說大誤。據《田……
前323,323,周顯王四十六年（西元前三二三年）,30,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、宋、中山、蔡、代,張儀、樂毅、秦惠王、齊威王、趙武靈王、魏惠王、楚懷王,伐、攻、圍、救、卒、立、即位、合縱、連橫、稱王、取、盟、會、賂、殺,秦惠文王更元二年，魏惠王后元十二年，韓宣惠王十年，趙武靈王三年，齊威王三十四年，楚懷王六年，燕易王十年。 [秦惠文王更元]二年張儀與齊楚大臣會齧桑。（《秦本紀》，《六國表》作“相張儀與齊楚會齧桑”，《楚世家》作“秦使張儀與楚、齊、魏相會，盟齧桑”。《魏世家》作“諸侯執政與秦相張儀會齧桑”，《田世家》作“秦使張儀與諸侯執政會于齧桑”） 韓宣惠王十年君為王。（《六國表》，《韓世家》作“十一年君號為王”） [燕易王]十年燕君為王。（《燕世家》，《六國表》亦作“君為王”） [楚懷王六年]燕、韓君初稱王。（《楚世家》） 五國相王，趙獨否，曰：“無其實，敢處其名乎？”令國人謂己曰“君”。（《趙世家》武靈王八年） [魯]景公二十九年(當作二十一年)卒，子叔立(“叔”當作“旅”)，是為平公。是時六國皆稱王。（《魯世家》） 案：叔，《漢書·律曆志》及《魯世家·索隱》引《世本》皆作“旅”，蓋形近而論。《魯世家》雲：“平公十二年秦惠王卒”，秦惠王卒于周赧王四年，則魯平西元年當為周顯王四十七年，其即位在四十六年，是年正是五國相王之歲。 中山與燕、趙為王，齊閉關不通中山之使，其言曰：“我萬乘之國也，中山千乘之國……
